"sbj" "actindx" "actname" "timebodyacc-mean-x" "timebodyacc-mean-y" "timebodyacc-mean-z" "timegravityacc-mean-x" "timegravityacc-mean-y" "timegravityacc-mean-z" "timebodyaccjerk-mean-x" "timebodyaccjerk-mean-y" "timebodyaccjerk-mean-z" "timebodygyro-mean-x" "timebodygyro-mean-y" "timebodygyro-mean-z" "timebodygyrojerk-mean-x" "timebodygyrojerk-mean-y" "timebodygyrojerk-mean-z" "timebodyaccmag-mean" "timegravityaccmag-mean" "timebodyaccjerkmag-mean" "timebodygyromag-mean" "timebodygyrojerkmag-mean" "freqbodyacc-mean-x" "freqbodyacc-mean-y" "freqbodyacc-mean-z" "freqbodyacc-meanfreq-x" "freqbodyacc-meanfreq-y" "freqbodyacc-meanfreq-z" "freqbodyaccjerk-mean-x" "freqbodyaccjerk-mean-y" "freqbodyaccjerk-mean-z" "freqbodyaccjerk-meanfreq-x" "freqbodyaccjerk-meanfreq-y" "freqbodyaccjerk-meanfreq-z" "freqbodygyro-mean-x" "freqbodygyro-mean-y" "freqbodygyro-mean-z" "freqbodygyro-meanfreq-x" "freqbodygyro-meanfreq-y" "freqbodygyro-meanfreq-z" "freqbodyaccmag-mean" "freqbodyaccmag-meanfreq" "freqbodybodyaccjerkmag-mean" "freqbodybodyaccjerkmag-meanfreq" "freqbodybodygyromag-mean" "freqbodybodygyromag-meanfreq" "freqbodybodygyrojerkmag-mean" "freqbodybodygyrojerkmag-meanfreq"
1 5 "STANDING" 0.27688027 -0.012721805 -0.10343832 0.96920266 -0.15236144 0.081258077 0.07139686 0.016842441 0.0010303821 -0.024708255 -0.068884585 0.085481775 -0.099442952 -0.032515146 -0.045512651 -0.98804033 -0.98804033 -0.98441139 -0.9852507 -0.99126117 -0.99288633 -0.970608 -0.98367242 0.25452243 0.14580566 0.35600115 -0.99098572 -0.97345576 -0.9817322 0.29814706 -0.11664159 0.075871412 -0.98191251 -0.98782272 -0.97727189 -0.27981371 -0.051035768 0.0988292 -0.98569656 0.38084257 -0.98476304 0.50187561 -0.98345836 -0.047159012 -0.99131428 0.12050339
1 5 "STANDING" 0.27622817 -0.021441302 -0.10820234 0.96925328 -0.15006376 0.082931213 0.076084514 -0.0023115579 -0.0076736296 -0.031173158 -0.074666711 0.091577535 -0.094207555 -0.040316155 -0.057682038 -0.99477563 -0.99477563 -0.99279492 -0.99428671 -0.99776102 -0.99823935 -0.98491607 -0.9916394 -0.079862491 0.28590026 0.59280773 -0.99819157 -0.98967537 -0.98895116 0.36242301 0.085267402 0.23596642 -0.99258395 -0.99621833 -0.99512791 0.076938014 -0.10682122 0.26552128 -0.9951378 0.51963263 -0.99472936 0.69936213 -0.99650333 0.098996469 -0.99765225 0.35144181
1 5 "STANDING" 0.278457 -0.020414761 -0.11273172 0.9689963 -0.1523621 0.083150803 0.077102002 0.017027167 -0.00098523943 -0.029168611 -0.075944066 0.086183519 -0.098994495 -0.040496948 -0.054137882 -0.99532501 -0.99532501 -0.99486033 -0.99630809 -0.99860153 -0.99937732 -0.98715877 -0.99581923 0.01088487 0.047539322 0.49317233 -0.99953805 -0.98974889 -0.99267475 0.27214463 0.19726357 0.14741231 -0.99448722 -0.99805671 -0.99645488 0.024244269 -0.10457271 0.066322633 -0.99595367 0.49124359 -0.99681887 0.53634844 -0.99790693 0.15665584 -0.99904671 0.68989704
1 5 "STANDING" 0.27717497 -0.014712802 -0.10675647 0.96904398 -0.15414125 0.081819604 0.07761238 0.019489223 0.015207683 -0.027087093 -0.071831343 0.083622237 -0.10048744 -0.042113616 -0.053738021 -0.99670013 -0.99670013 -0.99536254 -0.99767246 -0.99833451 -0.99881956 -0.98880768 -0.99182892 0.25197966 0.30563147 0.47807012 -0.99749097 -0.9920277 -0.99290396 0.27096385 0.17085397 -0.022550317 -0.99630863 -0.997468 -0.99577517 0.26934763 0.15387378 0.15501092 -0.99775726 0.64707833 -0.99553335 0.53008832 -0.99856385 0.32533905 -0.999028 0.74002287
1 5 "STANDING" 0.29794572 0.027093908 -0.061668123 0.94489486 -0.29262334 -0.021435523 0.066656163 -0.068367084 -0.033607601 -0.010548201 0.15705425 -0.17452147 -0.084175874 -0.080866451 0.0075315612 -0.90458778 -0.90458778 -0.99047837 -0.84050608 -0.99144905 -0.98933967 -0.88341385 -0.95494861 -0.048520309 -0.10885964 -0.32172944 -0.98924824 -0.98354471 -0.98933823 0.43167873 -0.3119645 -0.067300167 -0.97246478 -0.95036887 -0.91031729 -0.019135493 -0.18081037 0.032643334 -0.90383853 -0.32224521 -0.98902608 0.16897904 -0.91104074 -0.17333539 -0.99024194 0.13095849
1 5 "STANDING" 0.27920345 -0.023020143 -0.12208028 0.95201342 -0.26311695 -0.0035761635 0.074659313 -0.0012810862 -0.026636672 -0.015810859 0.027702205 -0.02694145 -0.099860486 -0.057413011 -0.022366509 -0.98446381 -0.98446381 -0.99628275 -0.93127833 -0.99680193 -0.9956289 -0.98317075 -0.98412856 0.035257506 -0.17695413 0.37284782 -0.99478908 -0.99470375 -0.99357321 0.29352135 -0.038750943 0.31368835 -0.99083312 -0.97688822 -0.94907865 -0.29813287 -0.30192144 -0.20795948 -0.99136765 -0.076785005 -0.99681501 0.54385269 -0.95640227 -0.36092671 -0.997604 0.66153997
1 5 "STANDING" 0.27903836 -0.014800378 -0.11684896 0.95272437 -0.26509148 -0.0077089922 0.076711586 0.012251865 0.010057325 -0.013406816 -0.046264419 0.060933625 -0.094790394 -0.05064817 -0.034809761 -0.98904307 -0.98904307 -0.99552049 -0.97236443 -0.99690565 -0.99619504 -0.98725851 -0.98768709 0.018894579 -0.17377908 0.077119723 -0.99494893 -0.99233802 -0.99355517 0.29810065 0.042417242 0.21892784 -0.99075452 -0.98614115 -0.97429588 -0.1417567 -0.21375383 0.078100498 -0.99273157 0.015215303 -0.99885264 0.63655806 -0.98656987 -0.098182183 -0.99733245 0.56066755
1 5 "STANDING" 0.2801349 -0.013916951 -0.10637048 0.95306401 -0.26471825 -0.011556695 0.07525447 0.015419535 0.016625946 -0.012725097 -0.077761376 0.094503668 -0.10533471 -0.046139602 -0.046398495 -0.99507155 -0.99507155 -0.99564686 -0.9804895 -0.99700147 -0.99683409 -0.98804239 -0.98993731 0.1330314 0.072583636 0.43064735 -0.99530791 -0.99136358 -0.99479031 0.23929622 -0.067847456 0.13728835 -0.98907811 -0.99140219 -0.98219024 0.01317909 -0.27067927 -0.12286176 -0.99343349 0.19494092 -0.99635004 0.48518842 -0.99244181 -0.17698001 -0.99759265 0.42861421
1 5 "STANDING" 0.27773106 -0.018210718 -0.10918803 0.95360569 -0.26305774 -0.011094388 0.075021356 0.0042103143 -0.0051048322 -0.02464236 -0.087790863 0.10782187 -0.10413693 -0.041083288 -0.054341093 -0.99872681 -0.99872681 -0.99585704 -0.98856897 -0.99808075 -0.99680119 -0.99094436 -0.99596151 0.046132032 0.26334564 0.3271787 -0.99575245 -0.9924115 -0.99550105 0.32829076 -0.052247515 0.066680889 -0.99051434 -0.99790133 -0.99428753 -0.032881452 -0.032916715 0.071666087 -0.99704386 0.53206601 -0.99674065 0.43731909 -0.9956098 -0.10858525 -0.99850483 0.34841264
1 5 "STANDING" 0.27556818 -0.016979698 -0.11142918 0.95359464 -0.26348997 -0.011425851 0.076113384 0.01842771 -0.0060482131 -0.029461913 -0.084376762 0.10074789 -0.097122835 -0.039561886 -0.054821896 -0.99797237 -0.99797237 -0.99645316 -0.993472 -0.99869585 -0.99720497 -0.99029766 -0.99669495 -0.020005744 0.21234796 0.46552508 -0.9966077 -0.9930446 -0.99488302 0.15322251 -0.0085673308 0.23363094 -0.99517802 -0.9982421 -0.995936 0.047905446 -0.19412723 0.073319687 -0.99989278 0.66003688 -0.99947946 0.60844786 -0.99720378 -0.056741167 -0.99957244 0.66715565
1 5 "STANDING" 0.27756171 -0.014318487 -0.10787724 0.95313551 -0.2634369 -0.012458678 0.075342269 0.018055718 -0.0049718288 -0.029814933 -0.078706495 0.093773469 -0.096999665 -0.039383672 -0.055209671 -0.99844133 -0.99844133 -0.99547632 -0.99698274 -0.99843291 -0.99719829 -0.99261084 -0.99417669 0.090345729 0.35771894 0.40806341 -0.99612215 -0.99357857 -0.99215543 0.30277895 0.14594653 0.087776392 -0.99678336 -0.99846765 -0.99695895 0.24488852 0.040963158 0.53805287 -0.99725253 0.66457149 -0.99832359 0.28475946 -0.9988685 0.48005633 -0.99904676 0.60113375
1 5 "STANDING" 0.27715238 -0.017983328 -0.10660117 0.95318325 -0.26189643 -0.012015606 0.073413536 0.0045245992 -0.005894406 -0.02917889 -0.07955402 0.094585279 -0.097217687 -0.040646212 -0.054870288 -0.997891 -0.997891 -0.99306888 -0.99707363 -0.99818838 -0.99657474 -0.98697802 -0.99542528 0.12662814 0.44121188 0.55619075 -0.9958259 -0.98689999 -0.99113965 0.32105115 0.30897727 0.40567757 -0.99638039 -0.99844454 -0.99640039 0.1732064 0.17626505 0.51947182 -0.99671069 0.68400956 -0.99449599 0.37712092 -0.99852538 0.34517548 -0.99842415 0.57633902
1 5 "STANDING" 0.2756763 -0.021264234 -0.11080122 0.95309294 -0.26245862 -0.011512171 0.076943687 0.005482978 0.0016020823 -0.028153699 -0.076118947 0.088998758 -0.097980589 -0.039427698 -0.055537897 -0.99589346 -0.99589346 -0.99222923 -0.99762227 -0.99852925 -0.9975464 -0.9864129 -0.99403597 0.09708178 0.43327102 0.41249506 -0.99630977 -0.98291315 -0.99221625 0.31547212 0.15183527 0.27388505 -0.9970942 -0.99788171 -0.99467877 0.15286778 0.12748859 0.15789138 -0.99596298 0.63675107 -0.99258499 0.49293471 -0.99824461 0.25122244 -0.99896566 0.48022509
1 5 "STANDING" 0.2792002 -0.017714427 -0.10916135 0.95273161 -0.26500697 -0.012703514 0.078642693 0.016503342 -4.8515198e-05 -0.027220935 -0.069195151 0.079055228 -0.097053649 -0.039995777 -0.059039117 -0.99521534 -0.99521534 -0.99337454 -0.99736198 -0.99832144 -0.99750264 -0.98498699 -0.98999238 0.18278855 0.29565478 0.19559695 -0.9965272 -0.98644595 -0.99045005 0.30707408 0.087754562 0.19355673 -0.99763528 -0.99799155 -0.9942121 0.20210878 0.14995588 0.46774838 -0.99508421 0.60871588 -0.99429146 0.36203326 -0.99803662 0.35343666 -0.99872646 0.46819093
1 5 "STANDING" 0.28171549 -0.011910678 -0.10287513 0.9532188 -0.2650432 -0.013126421 0.074924981 0.0099539071 0.00068788567 -0.024960701 -0.071607144 0.080856127 -0.096984078 -0.040981257 -0.056018736 -0.99419344 -0.99419344 -0.99333286 -0.99569879 -0.99740976 -0.99865677 -0.98672372 -0.99260252 0.21581421 0.30385235 0.36094598 -0.99694736 -0.98576146 -0.9908238 0.47884333 0.16954035 0.3207876 -0.99512261 -0.99756262 -0.99341683 -0.013018887 0.043613052 0.2594532 -0.99427863 0.48284287 -0.99444815 0.36154353 -0.99721689 0.31076193 -0.99873615 0.73008435
1 5 "STANDING" 0.27899267 -0.014531029 -0.10659617 0.95419361 -0.26194319 -0.011180786 0.074219489 0.0044872377 0.0069293456 -0.027372739 -0.0753043 0.088552726 -0.097154466 -0.039321883 -0.051857918 -0.9957494 -0.9957494 -0.99251624 -0.99526631 -0.99717187 -0.99747202 -0.9852728 -0.99227953 0.082183504 0.30626546 0.55616005 -0.99654528 -0.98709855 -0.9903284 0.22387222 0.23600015 0.29543031 -0.99272051 -0.99733625 -0.99325176 -0.16758088 0.13231293 0.40559982 -0.99363919 0.49427509 -0.99439824 0.33791454 -0.99674532 0.16975243 -0.99838463 0.67707316
1 5 "STANDING" 0.27573444 -0.01801884 -0.10677578 0.95458893 -0.26049928 -0.0099594009 0.073460968 0.01837229 0.001436324 -0.030529617 -0.074705186 0.089415593 -0.10226052 -0.040127012 -0.052669203 -0.9985525 -0.9985525 -0.99338553 -0.99582615 -0.99717422 -0.99898187 -0.98994616 -0.99251428 0.40897251 0.47161137 0.47771081 -0.99736314 -0.98910225 -0.98919841 0.46784619 0.20163927 0.29315673 -0.99206061 -0.99732034 -0.99534292 0.039766646 0.24039051 0.3996916 -0.99638609 0.82097848 -0.99322754 0.55391815 -0.99660807 0.20173051 -0.99796927 0.71828398
1 4 "SITTING" 0.14450396 0.18926326 0.062769317 0.87409866 0.042479149 0.33309449 0.13805762 -0.34777099 -0.33527233 -0.046489666 -0.28289794 0.22948437 -0.11571413 -0.066663019 0.01633599 -0.5543692 -0.5543692 -0.97526798 -0.8738801 -0.99023484 -0.92128754 -0.43277861 -0.61401743 -0.35489841 -0.18146416 -0.12436529 -0.98209043 -0.96914184 -0.9815657 0.25988055 -0.59850344 -0.2711709 -0.967536 -0.9690438 -0.89992251 -0.065895342 0.17024687 0.13254114 -0.44662992 -0.33811215 -0.97565857 -0.31267252 -0.97506987 -0.26760821 -0.98331724 -0.25760727
1 4 "SITTING" 0.28725164 -0.037455064 -0.14597431 0.83566368 0.16067501 0.39982173 0.089548399 -0.034317974 0.0030597368 -0.04840838 -0.23917386 0.24705037 -0.094242126 -0.022414444 -0.06697056 -0.93459377 -0.93459377 -0.99288968 -0.89520271 -0.99808771 -0.98612352 -0.9319656 -0.97975316 -0.16587014 -0.16081735 -0.34313523 -0.99252438 -0.98909638 -0.99178965 0.18773056 -0.19884526 0.22072527 -0.9938543 -0.97978496 -0.97820971 0.10066045 -0.14922323 -0.30398028 -0.95362658 -0.087781605 -0.99476974 0.30987137 -0.96970623 -0.25681219 -0.99858976 0.5824263
1 4 "SITTING" 0.2799976 -0.019484036 -0.10572355 0.83695957 0.15187734 0.38646765 0.071215441 0.044244119 0.020358157 -0.039411936 -0.16674787 0.18301929 -0.095291208 -0.026020031 -0.078193929 -0.97699498 -0.97699498 -0.99423479 -0.94096567 -0.99886254 -0.99293691 -0.95749137 -0.98337133 -0.039967658 -0.068091694 0.32346304 -0.99433646 -0.99333255 -0.99017788 0.46011421 0.0314105 0.16349957 -0.99528558 -0.98342481 -0.96993296 0.0044110032 -0.1816702 0.032572191 -0.97670695 -0.10127908 -0.99398527 0.41989445 -0.96972021 -0.19922705 -0.99897315 0.75559309
1 4 "SITTING" 0.22184689 0.034107675 -0.12361242 0.83878762 0.15070183 0.38345181 -0.013591322 0.12068585 0.22870415 -0.037731641 0.021333829 0.076579313 -0.016521407 -0.065023681 -0.15063907 -0.81575864 -0.81575864 -0.91387886 -0.68190845 -0.9175591 -0.80764453 -0.76550533 -0.67628885 -0.33693309 -0.13636196 -0.27067181 -0.88214836 -0.85881998 -0.90403706 -0.0064065533 -0.6040985 -1 -0.74866144 -0.69737845 -0.65352471 -0.38264807 -0.94397478 -0.57021937 -0.61264851 -0.24293782 -0.86032147 -0.12170217 -0.60433533 -0.61820352 -0.87086437 -0.46353347
1 4 "SITTING" -0.041701306 0.17510248 0.025551778 0.81080506 0.19559534 0.38713197 0.050456562 0.090830365 0.0053317431 -0.0038232806 0.019187316 -0.050212092 -0.095521677 -0.067817006 -0.040522627 -0.50739668 -0.50739668 -0.86678801 -0.59287987 -0.88878839 -0.81335631 -0.70656744 -0.70433301 -0.68882682 -0.40545407 -0.98554246 -0.8667756 -0.84357581 -0.89207213 -0.24581491 -0.60192507 -0.94151016 -0.77404985 -0.6872257 -0.68464064 -0.74889709 -0.92929818 -0.78856591 -0.68219367 -0.59724662 -0.85131788 0.10924388 -0.65163072 -0.72176765 -0.87238357 -0.25455139
1 4 "SITTING" 0.013903671 0.15329608 0.016242945 0.70308608 0.31406786 0.43977403 0.17843808 -0.11966443 -0.25914034 -0.0045972195 -0.15669611 0.060405191 -0.18174043 -0.014079617 0.047204388 -0.62102725 -0.62102725 -0.94302661 -0.85361742 -0.9660986 -0.85010909 -0.76166325 -0.72770498 -0.19326051 -0.30854286 0.054190525 -0.92109636 -0.93762977 -0.94925418 0.26304766 -0.54949189 -0.58818391 -0.88630279 -0.91679646 -0.78006986 0.36521133 -0.27548492 -0.3631185 -0.69185852 -0.26523161 -0.91377977 0.20968223 -0.85722556 -0.10875928 -0.94761761 0.18128656
1 4 "SITTING" 0.30368927 -0.0042428053 -0.15085028 0.6182581 0.40950272 0.4812985 0.098998778 -0.074612565 -0.0073366086 -0.042681542 -0.15263343 0.20315388 -0.10305335 -0.011939118 -0.062791658 -0.91595384 -0.91595384 -0.99107291 -0.93617751 -0.99314699 -0.9677791 -0.87902803 -0.98069583 -0.37811345 -0.061498425 -0.49906435 -0.98835635 -0.98103161 -0.99519463 0.24003213 -0.22633621 -0.12355492 -0.9939928 -0.97374029 -0.98158671 0.40785068 0.39012234 -0.1996484 -0.90549594 -0.1171333 -0.99033636 0.2496267 -0.96910523 0.15269307 -0.98956557 0.12348951
1 4 "SITTING" 0.29075969 -0.02403476 -0.11673889 0.6220655 0.41986657 0.46862799 0.062975489 0.03415889 0.033170611 -0.041556713 -0.11325798 0.1566043 -0.095537878 -0.035066258 -0.068364914 -0.97480504 -0.97480504 -0.99684513 -0.96385423 -0.99679493 -0.98339322 -0.97465043 -0.97488987 -0.37278954 0.086423859 0.038592924 -0.99375401 -0.99063849 -0.99841352 0.41077455 0.20907625 -0.089948182 -0.9980739 -0.9912576 -0.98090949 0.17608884 0.011722064 -0.011644735 -0.96861566 -0.21394221 -0.99554762 0.35068262 -0.98475673 -0.22985723 -0.9958058 0.20092475
1 4 "SITTING" 0.27090823 -0.014412968 -0.10652245 0.62745102 0.41503721 0.46423103 0.075591498 0.011694892 -0.0072211967 -0.035457677 -0.091001714 0.11779396 -0.095751535 -0.036409127 -0.065751415 -0.99523836 -0.99523836 -0.99763638 -0.98430476 -0.99703141 -0.99597643 -0.99340829 -0.99489744 -0.34877332 0.33510024 0.2858224 -0.99732906 -0.99224316 -0.99601381 0.2340979 0.30383385 0.24861129 -0.99696281 -0.99334008 -0.98624004 0.021293298 0.38783759 0.078644167 -0.99683806 0.38033394 -0.99778629 0.20742657 -0.991537 -0.070297819 -0.99608502 0.054594781
1 4 "SITTING" 0.2795534 -0.017001147 -0.11051668 0.62532313 0.41648854 0.46494774 0.072773826 0.0035293806 -0.00060033363 -0.030919137 -0.074625079 0.094283835 -0.096390151 -0.03903317 -0.061621011 -0.99906744 -0.99906744 -0.99661376 -0.99388844 -0.99658655 -0.99612732 -0.99272576 -0.99818451 -0.018697562 0.59323932 0.3177813 -0.99670618 -0.99155288 -0.99688883 0.24908144 0.23065029 0.13494586 -0.99872231 -0.99296995 -0.99091693 0.50889684 0.078256408 0.1891825 -0.99835502 0.66066759 -0.99779214 0.27088552 -0.99410838 0.2499139 -0.99603174 0.092354948
1 4 "SITTING" 0.27635864 -0.016138088 -0.10803259 0.62577398 0.4168573 0.46439573 0.076218027 0.0094053857 -0.0080907158 -0.028201987 -0.072296089 0.084889322 -0.09732419 -0.042724214 -0.056653466 -0.9980118 -0.9980118 -0.99594417 -0.99663124 -0.99648651 -0.99529816 -0.99169066 -0.99619448 -0.11663145 0.35153092 0.2462047 -0.99502795 -0.99064115 -0.99663253 0.15700775 0.055799457 0.08142481 -0.99794548 -0.99445974 -0.99484406 0.2267544 0.1179848 0.41430166 -0.99642627 0.3803319 -0.99760323 0.58411544 -0.99582391 0.53869512 -0.99596914 0.45367772
1 4 "SITTING" 0.23715407 0.0078251224 -0.12283791 0.89093772 0.11359108 0.33032214 0.075301588 0.082650327 -0.0089599647 -0.22503946 -0.13315886 -0.59416576 -0.076136273 -0.023511625 0.048746095 -0.92623334 -0.92623334 -0.98365142 -0.62607513 -0.99269133 -0.98333264 -0.89914658 -0.97708524 -0.29392057 -0.037053012 0.074115336 -0.98365156 -0.96959332 -0.98323096 0.27396304 -0.29717515 0.11202399 -0.95825574 -0.9788201 -0.84816728 -0.26690398 -0.034240203 0.020744702 -0.9452631 -0.028536046 -0.9795682 0.13208827 -0.88993038 -0.22143822 -0.9936382 0.1908948
